time,id,value
2017/10/20 11:46,3520490,1
2017/10/20 11:46,4529390,1
2017/10/20 11:47,1829139,1
2017/10/20 11:48,6355836,1
2017/10/20 11:49,4234402,1
2017/10/20 11:50,3681768,1
2017/10/20 11:50,8143270,1
2017/10/20 11:50,1201257,1
2017/10/20 11:51,1697803,1
2017/10/20 11:51,1697803,1
2017/10/20 11:52,3908534,1
2017/10/20 11:56,8239790,2
2017/10/20 11:59,8046235,1
2017/10/20 12:01,2270116,1
2017/10/20 12:02,772307,1
2017/10/20 12:04,6236381,1
2017/10/20 12:05,5442489,1
2017/10/20 12:05,8561742,1
2017/10/20 12:08,9444218,1
2017/10/20 12:12,1895138,2
2017/10/20 12:15,8590056,1
2017/10/20 12:15,7086220,2
2017/10/20 12:17,3994501,1
2017/10/20 12:17,9691535,1
2017/10/20 12:20,4868568,1
2017/10/20 12:22,1626612,1
2017/10/20 12:26,7122815,1
2017/10/20 12:28,929798,1
2017/10/20 12:29,2802344,1
2017/10/20 12:32,3777244,1
2017/10/20 12:35,1442059,2
2017/10/20 12:35,3832779,1
2017/10/20 12:36,5727022,1
2017/10/20 12:40,655025,1
2017/10/20 12:40,3760110,1
2017/10/20 12:42,6751432,1
2017/10/20 12:42,1424128,1
2017/10/20 12:43,3434081,1
2017/10/20 12:43,2270116,1
2017/10/20 12:45,7552533,1
2017/10/20 12:46,8110885,1
2017/10/20 12:54,8277299,1
2017/10/20 12:56,5469726,1
2017/10/20 12:56,2246119,1
2017/10/20 12:56,864804,1
2017/10/20 12:58,176941,2
2017/10/20 12:59,8241970,1
2017/10/20 12:59,2902233,1
2017/10/20 13:02,5264498,1
2017/10/20 13:02,1489744,2
2017/10/20 13:03,2482011,1
2017/10/20 13:04,354280,2
2017/10/20 13:05,1097639,1
2017/10/20 13:05,6730645,1
2017/10/20 13:06,3289292,3
2017/10/20 13:06,67285,1
2017/10/20 13:08,8995547,1
2017/10/20 13:11,3331951,1
2017/10/20 13:11,9054991,2
2017/10/20 13:14,6934772,1
2017/10/20 13:15,5418238,1
2017/10/20 13:18,745662,1
2017/10/20 13:21,3538499,1
2017/10/20 13:24,467034,1
2017/10/20 13:24,6053880,1
2017/10/20 13:27,3019415,1
2017/10/20 13:28,2180462,2
2017/10/20 13:29,467034,1
2017/10/20 13:30,7086220,1
2017/10/20 13:32,3321167,1
2017/10/20 13:33,4490283,1
2017/10/20 13:37,2004899,1
2017/10/20 13:39,7419677,1
2017/10/20 13:40,3354301,2
2017/10/20 13:42,6477124,2
2017/10/20 13:44,9867153,1
2017/10/20 13:44,5358245,2
2017/10/20 13:45,2771200,1
2017/10/20 13:46,611726,1
2017/10/20 13:48,1579038,1
2017/10/20 13:49,3819429,1
2017/10/20 13:49,6157800,1
2017/10/20 13:51,19956,1
2017/10/20 13:53,8146173,1
2017/10/20 13:54,5879338,1
2017/10/20 13:54,7382969,1
2017/10/20 13:55,9290561,1
2017/10/20 13:56,535013,1
2017/10/20 14:02,3179508,1
2017/10/20 14:04,6477124,1
2017/10/20 14:05,1176600,1
2017/10/20 14:05,1270081,2
2017/10/20 14:08,7229169,1
2017/10/20 14:12,2871983,1
2017/10/20 14:13,8860137,1
2017/10/20 14:14,6103229,1
2017/10/20 14:14,754961,2
2017/10/20 14:14,1489744,1
2017/10/20 14:17,129101,1
2017/10/20 14:18,6560238,2
2017/10/20 14:22,511751,1
2017/10/20 14:23,3450525,1
2017/10/20 14:24,510441,1
2017/10/20 14:26,8510913,1
2017/10/20 14:27,7491004,1
2017/10/20 14:29,5076920,1
2017/10/20 14:31,1631593,1
2017/10/20 14:34,4704208,1
2017/10/20 14:35,6886495,1
2017/10/20 14:37,900491,1
2017/10/20 14:38,1317883,1
2017/10/20 14:38,5971925,1
2017/10/20 14:39,8146173,1
2017/10/20 14:40,898962,1
2017/10/20 14:40,4739441,1
2017/10/20 14:41,7864166,1
2017/10/20 14:42,3611508,1
2017/10/20 14:42,8253282,1
2017/10/20 14:42,9344672,1
2017/10/20 14:43,3869365,1
2017/10/20 14:44,380634,1
2017/10/20 14:47,4865662,1
2017/10/20 14:48,1853133,1
2017/10/20 14:49,7236714,1
2017/10/20 14:50,1774346,2
2017/10/20 14:50,9318028,1
2017/10/20 14:53,4838043,1
2017/10/20 14:56,8935349,1
2017/10/20 14:57,2901172,1
2017/10/20 14:58,9525701,1
2017/10/20 15:02,390299,1
2017/10/20 15:02,66986,1
2017/10/20 15:04,1501597,1
2017/10/20 15:07,1377030,1
2017/10/20 15:09,7128529,1
2017/10/20 15:12,4315449,1
2017/10/20 15:12,1646693,1
